id,employee_id,department,performance_score,years_with_company,salary
1,46,Sales,54.07,20,2.19
2,70,Engineering,69.88,1,45.69
3,37,Business Development,48.46,6,66.08
4,6,Support,7.14,7,44.59
5,88,Human Resources,3.58,3,55.0
6,77,Marketing,64.52,5,14.9
7,68,Accounting,41.93,1,86.49
8,33,Services,6.6,2,6.35
9,33,Support,42.56,1,15.84
10,37,Business Development,7.63,11,11.62
11,94,Marketing,24.04,3,50.0
12,35,Training,64.92,2,50.82
13,8,Human Resources,78.68,13,59.78
14,97,Accounting,61.58,1,74.93
15,44,Legal,66.93,9,68.74
16,91,Marketing,74.5,3,13.39
17,64,Business Development,3.23,12,52.06
18,84,Legal,48.58,9,91.41
19,87,Human Resources,6.15,16,36.85
20,42,Sales,97.94,6,31.96
21,60,Support,74.71,19,8.36
22,69,Marketing,11.89,16,90.27
23,86,Services,5.26,6,95.6
24,100,Sales,26.98,7,37.5
25,7,Engineering,66.6,9,17.44
26,1,Accounting,37.49,20,37.87
27,56,Research and Development,19.14,7,9.99
28,7,Sales,89.29,7,27.66
29,47,Human Resources,80.74,15,65.3
30,60,Legal,44.42,2,95.44
31,23,Marketing,71.84,15,46.66
32,63,Research and Development,35.97,7,33.3
33,46,Legal,63.05,8,92.65
34,51,Sales,47.23,1,57.33
35,21,Engineering,93.08,13,25.38
36,47,Business Development,42.94,11,86.28
37,55,Legal,2.31,17,34.53
38,31,Research and Development,78.98,3,73.91
39,97,Training,49.04,17,24.68
40,45,Sales,55.84,13,72.15
41,19,Product Management,1.42,7,95.81
42,2,Research and Development,44.77,14,25.19
43,47,Engineering,92.72,4,71.12
44,98,Marketing,23.78,1,39.15
45,71,Product Management,65.89,12,3.02
46,76,Business Development,14.32,2,84.81
47,84,Services,41.45,15,56.62
48,30,Engineering,87.77,8,66.89
49,31,Product Management,74.96,3,20.33
50,48,Marketing,35.0,8,5.0
51,34,Research and Development,3.44,2,88.56
52,9,Product Management,6.95,17,25.68
53,59,Marketing,43.23,18,87.39
54,75,Training,30.0,5,78.1
55,14,Support,6.02,11,15.92
56,16,Legal,16.12,16,54.78
57,15,Services,14.25,20,68.23
58,18,Services,35.53,13,37.82
59,57,Training,77.64,4,3.46
60,67,Sales,49.5,4,14.41
61,44,Support,63.68,12,84.56
62,30,Engineering,59.86,17,22.54
63,22,Engineering,43.06,13,46.37
64,38,Legal,99.84,12,2.15
65,74,Accounting,37.18,12,20.91
66,85,Services,65.77,4,85.45
67,45,Legal,89.9,16,39.81
68,40,Training,10.16,4,40.23
